Channel Name
"US (ESPN+ 066) | San Francisco vs. San Diego Jan 02 9:00PM ET (2026-01-02 21:00:25)"
"US (ESPN+ 067) | Iowa_ Minnesota_ Utah Meet Jan 02 9:00PM ET (2026-01-02 21:00:30)"
"US (ESPN+ 068) | Seattle U vs. #7 Gonzaga Jan 02 9:00PM ET (2026-01-02 21:00:35)"
"US (ESPN+ 069) | Delaware vs. UTEP Jan 02 9:00PM ET (2026-01-02 21:00:40)"
"US (ESPN+ 070) | Loyola Marymount vs. Washington State Jan 02 9:30PM ET (2026-01-02 21:30:00)"
"US (ESPN+ 071) | Pepperdine vs. Santa Clara Jan 02 10:00PM ET (2026-01-02 22:00:00)"
"US (ESPN+ 072) | Oregon State vs. Pacific Jan 02 10:00PM ET (2026-01-02 22:00:05)"
"US (ESPN+ 073) | Seattle Kraken vs. Vancouver Canucks Jan 02 10:00PM ET (2026-01-02 22:00:10)"
"US (ESPN+ 074) | Seattle Kraken vs. Vancouver Canucks Jan 02 10:00PM ET (2026-01-02 22:00:15)"
"US (ESPN+ 075) | Portland vs. Saint Mary`s Jan 02 10:00PM ET (2026-01-02 22:00:20)"
"US (ESPN+ 076) | Minnesota Wild vs. Anaheim Ducks Jan 02 10:00PM ET (2026-01-02 22:00:25)"
"US (ESPN+ 077) | Minnesota Wild vs. Anaheim Ducks Jan 02 10:00PM ET (2026-01-02 22:00:30)"
"US (ESPN+ 078) | San Diego vs. San Francisco Jan 02 10:00PM ET (2026-01-02 22:00:35)"
"US (ESPN+ 079) | Central Stags vs. Canterbury Kings Jan 02 10:25PM ET (2026-01-02 22:25:00)"
"US (ESPN+ 080) | Duke`s Mayo Bowl Trophy Presentation Jan 02 11:30PM ET (2026-01-02 23:30:00)"
"US (ESPN+ 081) |  (2098-12-31 08:00:01)"
"US (ESPN+ 082) |  (2098-12-31 08:00:02)"
"US (ESPN+ 083) |  (2098-12-31 08:00:03)"
"US (ESPN+ 084) |  (2098-12-31 08:00:04)"
"US (ESPN+ 085) |  (2098-12-31 08:00:05)"
"US (ESPN+ 086) |  (2098-12-31 08:00:06)"
"US (ESPN+ 087) |  (2098-12-31 08:00:07)"
"US (ESPN+ 088) |  (2098-12-31 08:00:08)"
"US (ESPN+ 089) |  (2098-12-31 08:00:09)"
"US (ESPN+ 090) |  (2098-12-31 08:00:10)"
